Date,Open,High,Low,Close,Volume
2021-06-02,31600.0,32400.0,31200.0,32200.0,5165730
2021-06-03,33200.0,33200.0,32200.0,32750.0,3095070
2021-06-04,32200.0,33000.0,31800.0,32150.0,3748190
2021-06-07,31800.0,32000.0,30000.0,30700.0,38824700
2021-06-08,30700.0,30700.0,30700.0,30700.0,0
2021-06-09,28500.0,30350.0,28000.0,29600.0,37519500
2021-06-10,29600.0,30050.0,28800.0,28900.0,23976800
2021-06-11,29100.0,30800.0,28800.0,30500.0,36442200
2021-06-14,30700.0,31300.0,30400.0,30800.0,26889200
2021-06-15,30800.0,30800.0,29800.0,30100.0,29659500
2021-06-16,29600.0,30200.0,29000.0,29200.0,30686500
2021-06-17,28550.0,29650.0,28550.0,29400.0,19581100
2021-06-18,29900.0,30100.0,29500.0,29650.0,16991300
2021-06-21,29500.0,30300.0,29350.0,29850.0,24072800
2021-06-22,30150.0,30750.0,29850.0,30200.0,25185700
2021-06-23,30200.0,30350.0,29750.0,29750.0,24112800
2021-06-24,29750.0,29900.0,28850.0,29000.0,21749700
2021-06-25,29000.0,29500.0,28900.0,29500.0,15572700
2021-06-28,29800.0,30400.0,29450.0,30200.0,19303900
2021-06-29,30500.0,31500.0,30400.0,31000.0,36074600
2021-06-30,30950.0,31400.0,30500.0,30600.0,16495700
2021-07-01,30600.0,31250.0,30450.0,31000.0,29589500
2021-07-02,31100.0,31950.0,31100.0,31500.0,41478500
2021-07-05,31500.0,31500.0,31500.0,31500.0,0
2021-07-06,31500.0,31500.0,31500.0,31500.0,0
2021-07-07,31500.0,31500.0,31500.0,31500.0,0
2021-07-08,31500.0,31500.0,31500.0,31500.0,0
2021-07-09,30000.0,30500.0,29000.0,29100.0,38413800
2021-07-12,29100.0,29100.0,29100.0,29100.0,0
2021-07-13,28800.0,29000.0,28050.0,28700.0,18442600
2021-07-14,28700.0,28700.0,28700.0,28700.0,0
2021-07-15,27100.0,28800.0,27100.0,28800.0,25368800
2021-07-16,28800.0,28800.0,28800.0,28800.0,0
2021-07-19,27500.0,27950.0,26700.0,27500.0,38557500
2021-07-20,27800.0,28100.0,27200.0,28100.0,23884800
2021-07-21,28300.0,28400.0,27800.0,27850.0,14144600
2021-07-22,27850.0,28150.0,27650.0,28000.0,16617400
2021-07-23,28300.0,29950.0,27900.0,28700.0,63584600
2021-07-26,28900.0,29300.0,28350.0,28700.0,15097600
2021-07-27,29000.0,29750.0,28700.0,29100.0,29764400
2021-07-28,28900.0,29450.0,28700.0,28900.0,17532900
