Date,Open,High,Low,Close,Volume
2023-07-17,56700.0,59000.0,56500.0,59000.0,4267700
2023-07-18,58500.0,59400.0,58000.0,58800.0,2908900
2023-07-19,58800.0,59000.0,58200.0,58500.0,2216000
2023-07-20,58500.0,58500.0,57300.0,57700.0,3588400
2023-07-21,57500.0,59000.0,57300.0,59000.0,3603800
2023-07-24,59500.0,59500.0,58100.0,59100.0,2048800
2023-07-25,58800.0,59200.0,58200.0,58600.0,3619300
2023-07-26,58300.0,59000.0,58300.0,59000.0,3075200
2023-07-27,59000.0,59100.0,57500.0,57500.0,2724000
2023-07-28,57700.0,58900.0,57400.0,58900.0,2867200
2023-07-31,62200.0,63000.0,61000.0,63000.0,5506100
2023-08-01,63900.0,66200.0,62800.0,62800.0,6553500
2023-08-02,62600.0,62900.0,61900.0,61900.0,3438900
2023-08-03,62000.0,62200.0,60100.0,60100.0,2944400
2023-08-04,60900.0,63800.0,60600.0,63000.0,4715000
2023-08-07,63700.0,63700.0,61600.0,62900.0,3395500
2023-08-08,62900.0,63800.0,62500.0,62800.0,5300400
2023-08-09,62300.0,62700.0,60600.0,60600.0,5591000
2023-08-10,60700.0,61600.0,60600.0,60600.0,4743100
2023-08-11,62300.0,62500.0,59800.0,60900.0,4792700
2023-08-14,60900.0,61800.0,60800.0,61200.0,6216300
2023-08-15,61200.0,62500.0,60900.0,61700.0,5687200
2023-08-16,63000.0,64100.0,62300.0,62900.0,6366900
2023-08-17,62100.0,62600.0,61000.0,61000.0,5437100
2023-08-18,60800.0,60800.0,56800.0,56800.0,9562100
2023-08-21,56800.0,57200.0,55700.0,56000.0,5229200
2023-08-22,56800.0,56800.0,54500.0,55500.0,4567100
2023-08-23,56900.0,56900.0,54400.0,54500.0,6684500
2023-08-24,54900.0,56100.0,54400.0,55400.0,4647700
2023-08-25,55500.0,55500.0,54000.0,54100.0,5129100
2023-08-28,54500.0,55300.0,54200.0,54700.0,5223400
2023-08-29,55000.0,55800.0,54400.0,54600.0,5305400
2023-08-30,54600.0,55100.0,54100.0,54600.0,5033400
2023-08-31,54800.0,55900.0,54700.0,54700.0,6420400
2023-09-01,54700.0,54700.0,54700.0,54700.0,0
2023-09-04,54700.0,54700.0,54700.0,54700.0,0
2023-09-05,55200.0,55500.0,54400.0,55300.0,9060200
2023-09-06,55500.0,57000.0,55400.0,55900.0,9771600
2023-09-07,56500.0,56600.0,54900.0,55100.0,8725600
2023-09-08,55000.0,55500.0,54000.0,54000.0,10428600
2023-09-11,54600.0,54900.0,52500.0,52500.0,8473600
2023-09-12,52800.0,53500.0,52000.0,53500.0,7418400
2023-09-13,53800.0,53800.0,52100.0,52100.0,11950900
2023-09-14,52100.0,52300.0,49000.0,49000.0,11640900
2023-09-15,49600.0,50500.0,49400.0,50500.0,10515400
2023-09-18,50100.0,50500.0,48700.0,48950.0,5100700
2023-09-19,50000.0,50700.0,49000.0,49350.0,7523700
2023-09-20,49700.0,50900.0,49500.0,50700.0,4516100
2023-09-21,51000.0,51400.0,50000.0,50200.0,5187600
2023-09-22,49400.0,49450.0,47850.0,48000.0,7962300
2023-09-25,48000.0,48750.0,46000.0,47000.0,5318000
2023-09-26,47000.0,47800.0,45000.0,45000.0,4072300
2023-09-27,45000.0,45800.0,43850.0,45100.0,6501300
2023-09-28,45100.0,45500.0,44050.0,44500.0,3414400
2023-09-29,45000.0,47500.0,45000.0,45500.0,7289300
2023-10-02,45600.0,46200.0,45200.0,45750.0,1820000
2023-10-03,45000.0,45250.0,44050.0,44050.0,4660300
2023-10-04,43250.0,45400.0,43250.0,44600.0,3469300
2023-10-05,44700.0,45250.0,44250.0,44550.0,2701500
2023-10-06,44850.0,46150.0,44550.0,46050.0,3431800
2023-10-09,46100.0,47500.0,46050.0,47000.0,3861300
2023-10-10,47150.0,48000.0,46900.0,48000.0,4834400
2023-10-11,47700.0,47800.0,46850.0,47400.0,2919100
2023-10-12,47600.0,48000.0,47350.0,47550.0,2450500
2023-10-13,47050.0,47200.0,46500.0,46900.0,2577000
2023-10-16,46900.0,47000.0,45550.0,45550.0,3271400
2023-10-17,45600.0,45900.0,44500.0,44500.0,2398500
2023-10-18,44600.0,45800.0,43000.0,43300.0,3856200
2023-10-19,43450.0,43450.0,42500.0,42500.0,3733500
2023-10-20,42500.0,44800.0,41700.0,44500.0,3190400
2023-10-23,44500.0,45300.0,44000.0,44500.0,5685400
2023-10-24,44900.0,45000.0,44000.0,44600.0,3181700
2023-10-25,45400.0,45950.0,44750.0,44900.0,3919900
2023-10-26,41800.0,41800.0,41800.0,41800.0,6085900
2023-10-27,40000.0,41500.0,38900.0,39200.0,18173800
2023-10-30,39000.0,40000.0,37750.0,39200.0,6757600
2023-10-31,39200.0,39700.0,38000.0,39000.0,7711700
2023-11-01,38900.0,39000.0,36750.0,38450.0,9750000
2023-11-02,38450.0,40000.0,37700.0,39950.0,9139400
2023-11-03,40450.0,40550.0,39950.0,40500.0,8269500
2023-11-06,40650.0,41400.0,40600.0,41000.0,6337500
2023-11-07,40900.0,40950.0,40000.0,40000.0,4440500
2023-11-08,39950.0,41500.0,39200.0,41000.0,7703900
2023-11-09,41600.0,43050.0,41450.0,42900.0,15459800
2023-11-10,42500.0,43200.0,42300.0,42300.0,6520200
2023-11-13,42600.0,42600.0,41300.0,41350.0,7225100
2023-11-14,41850.0,41900.0,40750.0,41000.0,7497400
2023-11-15,41800.0,42600.0,41350.0,41450.0,8585400
2023-11-16,41400.0,41650.0,40800.0,41150.0,5394800
2023-11-17,41300.0,41750.0,38500.0,38950.0,16313600
2023-11-20,38500.0,39500.0,38300.0,38950.0,4897600
2023-11-21,39750.0,39750.0,38900.0,39100.0,4789100
2023-11-22,39400.0,39600.0,38850.0,39000.0,4807600
2023-11-23,39350.0,39950.0,39000.0,39000.0,7659600
2023-11-24,39000.0,39200.0,38050.0,39100.0,7382900
2023-11-27,39100.0,40000.0,39100.0,39800.0,5710600
2023-11-28,39800.0,40750.0,39650.0,40750.0,7384400
2023-11-29,41050.0,41300.0,40750.0,41200.0,4209300
2023-11-30,41200.0,41350.0,40600.0,41300.0,7741700
2023-12-01,41300.0,41400.0,40400.0,40900.0,6970800
2023-12-04,40950.0,41500.0,40850.0,41300.0,8136700
2023-12-05,41500.0,41500.0,40500.0,40500.0,8300600
2023-12-06,40500.0,40550.0,39650.0,40450.0,10848000
2023-12-07,40450.0,40550.0,39400.0,39700.0,11343000
2023-12-08,39700.0,40100.0,39450.0,39650.0,9893700
2023-12-11,40150.0,41300.0,40100.0,41000.0,8699000
2023-12-12,41000.0,41300.0,40750.0,41050.0,6169100
2023-12-13,41200.0,41650.0,40650.0,40750.0,9940000
2023-12-14,41100.0,41250.0,40250.0,40300.0,4704300
2023-12-15,40450.0,40550.0,39850.0,39900.0,6799900
2023-12-18,40200.0,40200.0,39850.0,39900.0,3563400
2023-12-19,39900.0,39950.0,39300.0,39500.0,5227500
2023-12-20,39850.0,39950.0,39500.0,39950.0,2356600
2023-12-21,39700.0,40450.0,39650.0,40200.0,3556500
2023-12-22,40200.0,40400.0,40000.0,40300.0,3289400
2023-12-25,40300.0,41250.0,40300.0,41200.0,5957700
2023-12-26,41500.0,42200.0,41300.0,41900.0,10394700
2023-12-27,42000.0,42150.0,41850.0,41900.0,6034200
2023-12-28,42100.0,43800.0,42050.0,43700.0,13129900
2023-12-29,44050.0,44100.0,43200.0,43200.0,5324500
2024-01-01,43200.0,43200.0,43200.0,43200.0,0
2024-01-02,43300.0,43750.0,42550.0,43000.0,7588500
2024-01-03,42600.0,43400.0,42550.0,43400.0,6112600
2024-01-04,43550.0,43700.0,43250.0,43450.0,8778000
2024-01-05,43450.0,43550.0,43050.0,43100.0,4508700
2024-01-08,43200.0,43850.0,42900.0,43350.0,6213900
2024-01-09,43150.0,43300.0,42650.0,43000.0,6377100
2024-01-10,43000.0,43000.0,42100.0,42700.0,6789400
2024-01-11,42500.0,43050.0,42000.0,42000.0,6969000
2024-01-12,41800.0,41900.0,40900.0,41300.0,8327100
2024-01-15,41800.0,41850.0,41400.0,41600.0,3149500
2024-01-16,41600.0,42650.0,41450.0,42650.0,3774400
2024-01-17,42650.0,42850.0,41900.0,41900.0,6343500
2024-01-18,42250.0,43500.0,42050.0,43200.0,8938800
2024-01-19,43350.0,43600.0,43000.0,43050.0,5531400
2024-01-22,43350.0,43450.0,42800.0,43000.0,4709100
2024-01-23,43050.0,43200.0,42300.0,42350.0,5255800
2024-01-24,42350.0,42950.0,42300.0,42500.0,2741200
2024-01-25,42500.0,42500.0,42500.0,42500.0,0
2024-01-26,42200.0,42500.0,42000.0,42000.0,4351500
2024-01-29,42300.0,42300.0,41800.0,41800.0,3166200
2024-01-30,41800.0,42300.0,41700.0,42000.0,2908300
2024-01-31,42050.0,42250.0,41500.0,41500.0,6307100
2024-02-01,41350.0,41500.0,41100.0,41200.0,7107200
2024-02-02,41200.0,41200.0,41200.0,41200.0,0
2024-02-05,41400.0,41600.0,41100.0,41250.0,3361500
2024-02-06,41400.0,41450.0,41000.0,41000.0,5535300
2024-02-07,41050.0,41850.0,41000.0,41800.0,3768900
2024-02-08,41800.0,41800.0,41800.0,41800.0,0
2024-02-09,41800.0,41800.0,41800.0,41800.0,0
2024-02-15,42150.0,42200.0,41800.0,41950.0,4317100
2024-02-16,42150.0,42800.0,41950.0,42700.0,6024400
